2019. 12. 31,15:00,0,0,0,0,0
2019. 12. 31,16:00,0,0,0,0,0
2019. 12. 31,18:00,0,0,0,0,0
2019. 12. 31,20:00,2,0,2,0,0
2019. 12. 31,21:00,82,0,82,0,0
2019. 12. 31,22:00,88,0,88,0,0
2020. 1. 1,0:00,77,0,77,0,0
2020. 1. 1,2:00,75,0,75,0,0
2020. 1. 1,4:00,94,0,94,0,0
2020. 1. 1,5:00,85,0,85,0,0
2020. 1. 1,6:00,79,0,79,0,0
2020. 1. 1,7:00,83,0,83,0,0
2020. 1. 1,8:00,80,0,80,0,0
2020. 1. 1,9:00,69,0,69,0,0
2020. 1. 1,10:00,59,0,59,0,0
2020. 1. 1,12:00,77,0,77,0,0
2020. 1. 1,13:00,76,0,76,0,0
2020. 1. 1,14:00,73,0,73,0,0
2020. 1. 1,15:00,52,0,52,0,0
2020. 1. 1,18:00,84,0,84,0,0
2020. 1. 1,19:00,88,0,88,0,0
2020. 1. 1,21:00,67,0,67,0,0
2020. 1. 1,22:00,73,0,73,0,0
2020. 1. 2,0:00,78,0,78,0,0
2020. 1. 2,1:00,80,0,80,0,0
2020. 1. 2,3:00,82,0,82,0,0
2020. 1. 2,4:00,90,0,90,0,0
2020. 1. 2,5:00,89,0,89,0,0
2020. 1. 2,6:00,84,0,84,0,0
2020. 1. 2,7:00,80,0,80,0,0
2020. 1. 2,8:00,72,0,72,0,0
2020. 1. 2,10:00,46,0,46,0,0
2020. 1. 2,11:00,78,0,78,0,0
2020. 1. 2,13:00,93,0,93,0,0
2020. 1. 2,14:00,88,0,88,0,0
2020. 1. 2,15:00,83,0,83,0,0
2020. 1. 2,18:00,0,0,0,0,0
2020. 1. 2,19:00,1,0,1,0,0
2020. 1. 2,20:00,1,0,1,0,0
2020. 1. 2,21:00,1,0,0,0,0
2020. 1. 2,22:00,21,0,0,21,0
2020. 1. 3,0:00,2,0,2,0,0
2020. 1. 3,3:00,0,0,0,0,0
2020. 1. 3,4:00,0,0,0,0,0
2020. 1. 3,5:00,0,0,0,0,0
2020. 1. 3,6:00,0,0,0,0,0
2020. 1. 3,7:00,0,0,0,0,0
2020. 1. 3,8:00,0,0,0,0,0
2020. 1. 3,9:00,0,0,0,0,0
2020. 1. 3,11:00,0,0,0,0,0
2020. 1. 3,12:00,0,0,0,0,0
2020. 1. 3,13:00,0,0,0,0,0
2020. 1. 3,15:00,0,0,0,0,0
2020. 1. 3,16:00,0,0,0,0,0
2020. 1. 3,19:00,0,0,0,0,0
2020. 1. 3,20:00,0,0,0,0,0
2020. 1. 3,21:00,0,0,0,0,0
2020. 1. 3,23:00,0,0,0,0,0
2020. 1. 4,0:00,0,0,0,0,0
2020. 1. 4,1:00,0,0,0,0,0
2020. 1. 4,2:00,1,0,0,0,1
2020. 1. 4,3:00,9,0,9,0,0
2020. 1. 4,4:00,47,0,47,0,0
2020. 1. 4,5:00,61,0,61,0,0
2020. 1. 4,7:00,70,0,37,0,54
2020. 1. 4,8:00,29,0,29,0,0
2020. 1. 4,9:00,27,0,27,0,0
2020. 1. 4,10:00,28,0,28,0,0
2020. 1. 4,11:00,9,0,9,0,0
2020. 1. 4,12:00,2,0,2,0,0
2020. 1. 4,13:00,0,0,0,0,0
2020. 1. 4,14:00,0,0,0,0,0
2020. 1. 4,15:00,0,0,0,0,0
2020. 1. 4,16:00,0,0,0,0,0
2020. 1. 4,18:00,0,0,0,0,0
2020. 1. 4,19:00,0,0,0,0,0
2020. 1. 4,21:00,0,0,0,0,0
2020. 1. 4,23:00,0,0,0,0,0
2020. 1. 5,0:00,0,0,0,0,0
2020. 1. 5,1:00,0,0,0,0,0
2020. 1. 5,2:00,0,0,0,0,0
2020. 1. 5,3:00,0,0,0,0,0
2020. 1. 5,4:00,0,0,0,0,0
